Title,,,,cities,categories,Question
車を探しています。,,,,ダラス/ヒューストン,交通・飛行機,"みなさん初めまして。

私は留学の為、今年3月からダラスへ渡米しました。
アメリカでは車が無いと生活が出来ないため、日系のディーラーを探しております。

ガリバーさんを見つけたので、現在コンタクトをしております。
お忙しいのかご返信が遅く、他も探そうと思っておりましたら、Japan Auto Servicesを見つけました。
知人がそこから車の購入を4年前に行っており、トラブル等も多かったらしく、Japan Auto Serviceはやめた方がいいと忠告を受けたのですが、もし誰かJapan Auto Servicesさんからご購入された方がいれば教えてくれると大変助かります！..."
お部屋に空きがある方ご連絡ください,,,,ボストン/フィラデルフィア,住居,"今月末にフィラデルフィアの学会（6月25日-6月30日）に日本から参加する予定があり、その後6月30日-7月5日の間、休暇でボストンに滞在します。
この期間にお部屋に空きがある方、泊めていただける方がいらっしゃれば、料金等の情報とともにご連絡いただければ幸いです。ルームシェアのような形でも一人部屋でも結構です。
観光や食事等をご一緒していただける方からのご連絡も大歓迎です。

当方、日本の研究所で研究職をしている31歳の男性です。よろしくお願いします。"
アメリカでの謙遜,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,在米24年、アメリカ人の夫と結婚して17年になりますが、日本人との付き合いが多いせいか、アメリカ人の前でも謙遜してしまいます。アメリカ人に謙遜は通じないのは分かっていますが。 自分が褒められた時だけではなく、夫が家族や友達の前で褒められた時、”Thank you.”とは言いますが、謙遜して少し否定的なことを言ってしまったり、ついつい「でもね、こんなことするんだよ。」と、ちょっとした失敗談などを話したりするので、先日「お前はいつも俺を貶めることを言いやがって！」と、ブチ切れて、ぶん殴りそうな勢いで怒鳴りました。 でも、日本人なので、家族についても謙遜してしまうんです。...
語学学校に支払う授業料について,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,留学,"語学学校に留学をするのですが、なぜか授業料の支払いをアメリカに到着後、現地スタッフに到着した旨の連絡をし、その後クレジットカード決済になる、と言われました。

なぜアメリカに入国する前（日本にいる間）に支払えないのか分からないのですが、アメリカに到着するまで授業料が支払えない語学学校は一般的なのでしょうか？

また、アメリカに到着するのが授業開始の前日の日曜日で、日曜日に学校のスタッフと連絡が取れるかも不明です。受講したい日から授業が受けられなくなる可能性があり、その点を心配しています。..."
医療保険と医療費について質問です。 病状などによって様...,,,,ホノルル,医療,医療保険と医療費について質問です。 病状などによって様々だとは思いますが、SLEの方でどれくらい医療費（診察料、薬代など）がかかるのか また、おすすめの医療保険など教えていただけたら嬉しいです。 どれくらいの頻度で通院されていますか？ 日本では特定難病として医療費の補助などがあるのですが、アメリカにもそういった制度はあるのでしょうか？
帰国に必要な検査証明日本のフォーマット,,,,シカゴ,生活,帰国前のPCR検査証明書　日本のフォーマットを記入してくれる所探しています
マジックショー、変面ショーをする場所を探しております。,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,観光・レジャー,"初めまして、
マジシャンのSho Kittaです。
この度、10月4日〜11月1日の間、日本からニューヨークに訪問する予定です。
つきまして、各地域でパフォーマンスを募集またはイベントがあれば参加したいと考えております。
今回、持ち込みするのは中国伝統芸能でもある「変面」です。
その他、テーブルマジックやパーティーマジックも披露できます。
どこかお探しのところはありますでしょうか？
気になる方は、youtubeから私の動画をご覧になれますので、
「Sho Kitta」で検索していただければと思います。

ご連絡お待ちしております。

Sho Kitta"
日本人コミュニティ,,,,フィラデルフィア,生活,先日フィラデルフィアにPennの研究員として引っ越してきたものです。 日本人の友人も欲しいと思い、日本人コミュニティを探しています。JAGPのFacebookページを確認したところ、コロナの影響で活動が滞っている印象を受けました。実際はどうなのでしょうか。Penn内の日本人ネットワークもご存知の方がいましたら教えてください。 お手数ですが、何卒よろしくお願いいたします。
サーベイ,,,,サンディエゴ/サンフランシスコ/ワシントン/ホノルル/ボストン/ノバイ/ニューヨーク/コロンバス,サーベイ,"アメリカ在住の日本人のお子さまに英語を教えるボランティア団体、J-To-Aの高橋です(j-to-a.org)。この度、英語を教えるだけでなく、困りごとや悩みを抱えるお子さまに自分たちが何を出来るかを検討したいと考えています。つきましては、皆様のご意見を伺いたく、アンケートにご回答頂けると幸いです。
ご協力よろしくお願いします。

https://1m9uezoyc5q.typeform.com/to/MD9Qb8hG"
9月にOCからラスベガスに引越しします。皆さんどのサイ...,,,,ラスベガス,仕事,9月にOCからラスベガスに引越しします。皆さんどのサイトから仕事は探されてますか？
入手、ご協力お願いします。,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,ゲーム情報,私、最近ゲームボーイアドバンスソフト時代のゲームにハマっている者です。 北米版(海外版)ゲームボーイアドバンスソフトの「KIEN」というのを知っていますか？持っている人はいませんか？私とても欲しいので、その様な方がおられましたらどうかセカイモンというオークション、通販サイトに出品してください。外箱、取扱説明書有りの完品でお願いいたします。 P.S あと、よろしければこのことを他の掲示板等でも広めて情報集めてもらうと嬉しいです。 自分こういう事あまり詳しくないので。
宿泊・観光相談,,,,フィラデルフィア,観光・レジャー,今月末にフィラデルフィアの学会（6月25日-30日）に日本から参加する予定です。 この期間の一部でもお部屋に空きがある方、泊めていただける方がいらっしゃれば、料金等の情報とともにご連絡いただければ幸いです。食事等をご一緒していただける方からのご連絡も大歓迎です！ 当方、日本の研究所で研究職をしている31歳の男性です。よろしくお願いします。
宿泊・観光相談,,,,ボストン,観光・レジャー,今月末にフィラデルフィアの学会に日本から参加する予定があり、その後6月30日-7月5日の間、休暇でボストンに滞在します。 この期間の一部でもお部屋に空きがある方、泊めていただける方がいらっしゃれば、料金等の情報とともにご連絡いただければ幸いです。観光や食事等をご一緒していただける方からのご連絡も大歓迎です！ 当方、日本の研究所で研究職をしている31歳の男性です。よろしくお願いします。
文鳥を探しています。Missing bird,,,,ニューヨーク,生活,"５月２７日夕方５時’４５分ごろ　West 126th Street & Lenox Aveで文鳥がいなくなり、探しています。
黒い頭と尻尾、グレイの背中に赤いくちばしのスズメと同じ大きさの小鳥です。右足に緑のリングを着けています。
情報をお待ちしています。

Please help to find a bird named Lucky. He is a black and white Java Sparrow with a red beak and has a green anklet on his right foot. On Friday, May 27, 2022, he..."
日本人の刺青師　タトウ　アーテイスト探しています。,,,,アトランタ/アトランタ ジョージア 近郊,日本人刺青タトウ師求,簡単なシンプルな名前だけの刺青を入れたいのですが、丁寧にイメージ通りにしていただける日本人の刺青師に入れてもらいたく探しています。ジョージア州アラバマ州近郊で探しています。情報があれば是非教えていただきたいです。よろしくお願いします。
留学に行く際の保険について,,,,アトランタ,医療,アトランタに10ヶ月留学に行きたいのですが、既往症(鬱)があるため、保険探しに困っています。 日本で一度に出せる薬は90日分、その後の薬をどうするかが問題です。現地の病院で貰うと100%自己負担なので保険に入りたいのですが、継続的な投薬に対応してる保険が見つかりません。 現地で保険に入る事もできるそうですが、探し方すら分からず困っています。何か既往症有りでも入れる保険があれば教えていただきたいです。
友人探し,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル/フロリダ,生活,こんにちは。 友人を探しています。急に連絡が途絶えてしまいとても心配です。 どなたか、フロリダのディズニーで働いていた方いませんか？
初めまして。 現在は企業に在職中の42歳です。 現職は...,,,,アトランタ,ビザ,初めまして。 現在は企業に在職中の42歳です。 現職は日本のレストランでマネージャーをしております。ブランドマネージャーであり店長であり、という形態で勤務しております。 年齢も年齢だったりビザの取得も大変困難だというのを承知で、アメリカで昔から働きたい思いがあり、特にアトランタなど南部で働きたいと思っております。 英語のスキルはだいぶ低いのですが、それでも可能かどうか、年齢的に無理かどうか、含めてご教授いただければと思います。 よろしくお願い致します
ノバイ周辺の少年野球チーム（トラベルチーム）を教えてください。,,,,ノバイ,育児・子育て,"ノバイ周辺の少年野球チーム（トラベルチーム）を探しています。

Webサイトでは
Novi Heat
Michigan Bulls
Commerce Cobras

という3つのチームを見つけましたが、以上のチームについての情報、又は他にもチームがありましたら、情報頂けると助かります。よろしくお願いします。"
ドライバー探し,,,,サンフランシスコ,観光・レジャー,現在一人旅をしている大学生です。 突然ではありますが、5/23までの間で1日でもドライバーをしていただける方がいらっしゃいましたら是非ご連絡いただきたいです。もちろんお金はお支払いいたします！
メンタルケアについて,,,,ロサンゼルス/サンディエゴ/サンフランシスコ/ボストン/ニューヨーク/シアトル,生活,"学校の課題でアンケートの調査しています！！
ご協力頂けたら有難いです！

https://docs.google.com/forms/d/e/1FAIpQLScPLiWSY-vRmkzxs69RmFK2-J-lvjbu3AYwFl6OCnJlXyKq6w/viewform?usp=sf_link"
ニュージャージー郊外の住環境,,,,ニュージャージー,生活,ニュージャージー州に転勤予定です。勤務地が郊外のエリアになるため、不動産会社からモリスタウン周辺の物件を紹介されています。フォートリー周辺やバーゲンカウンティの情報は沢山見かけるのですが、モリスタウン周辺の内陸部(?)エリアの住環境をご存じの方はいらっしゃいますか？ 当方、妻と4歳の子供がおります。周辺にアジア系スーパーがないので不便かと思いましたが、アジア系の方は少ないエリアなのでしょうか？不動産会社からもらったデータをみると、学区の小学校のレベルは高いようでした。
結婚式のメイクができる方を探しています。,,,,ダラス,結婚式,ダラスで結婚式を挙げる予定です。 日本人に合ったメイクをしてくれるお店はありますか？ 美容院しか見つけられず、困っています。
NHでおすすめのカイロプラクター,,,,ボストン/NH,生活,"最近、腰が痛くて困っているMayaといいます。

いくつかのカイロの先生をNH付近でさがしているのですが、
なかなか自分にフィットするいい方が見つかりません。。。

もし、おすすめなどがありましたら、お知らせいただけるととても助かります。

よろしくお願いします。


-- 2022-05-04 追記 --

waltham803@yahoo.co.jp
までお知らせ願います。"
犬の散歩中のマナーについて,,,,ワシントン/ニューヨーク,生活,アメリカって犬の散歩中に犬が街灯の支柱などにおしっこをした場合、日本のように水をかける必要がありますか？また、大きいほうをした場合、片付けた袋はたとえば公園などの街中に設置しているゴミ箱に捨ててもいいですか？ 変な質問ですみません。 もうすぐ犬を連れて欧州から渡米予定なんですが、欧州では水をかけないでいいし、袋も街中のゴミ箱に捨ててもいいんですが、国が違えばマナーも違いますよね。 色々探しましたがどうしても出てこなかったのでこちらで質問させていただきました。 どうぞよろしくお願いします。
ファッションショーに興味がありますか？,,,,ニューヨーク/フィラデルフィア,生活,ファッションショーに興味がありますか？
外国語課程に日本語の選択肢のある公立高校,,,,アーバイン/サンノゼ,育児・子育て,この夏から高校生になる子どもを連れて家族で移住します。アーバインやサンノゼまたはその周辺に、外国語課程に日本語の選択肢のある公立高校はありますか?　補習校ではなく、アメリカの公立高校です。ご情報よろしくお願いいたします。
PCR検査,,,,ラスベガス,観光・レジャー,日本帰国の際に必要なPCR検査を受けれる場所を探しています。 あまりラスベガスに詳しくないので、検査が出来るクリニックを教えて下さい。 宜しくお願い致します。
帰国用陰性証明書,,,,サンフランシスコ,医療,日本帰国のためのPCR検査、皆さんどちらで受けられてますか？
セドナ・フェニックスの気候は？,,,,フェニックス,観光・レジャー,セドナ・フェニックスの気候について教えてください。２人目を妊娠中で出産前に2歳の上の子を連れみんなでセドナとフェニックスの動物園に観光をしたいと思っています。11月中旬が出産予定です。6月から10月の間の気候を教えて頂けませんか？どの月がおすすめですか？ラスベガス在住なのですがほぼ同じような感じなのでしょうか？ 宜しくお願いします。
ファッションアワード,,,,ニューヨーク/フィラデルフィア,ファッション,"初めまして。
現在、7月にフィラデルフィアで現地の大学と共同開催予定の学生デザイナーを対象にした日本の伝統的な生地をテーマにしたファッションアワードに向けて準備を進めています。応募者を募るために、現地のファッション学生がチェックしているようなコミュニティや掲示板、ウェブサイトをご存知の方がいらっしゃいましたら、是非教えて頂けたらと思っております。また、お友達やお知り合いでファッション学生の方やデザイナーを目指している方がいらっしゃる方も是非、詳細についてご連絡いただけたらと思います。

ご連絡お待ちしております。

よろしくお願いいたします。

宮野"
ビジネスオーナーのみなさま、ビジネスネットワーキングに...,,,,アーバイン,仕事,ビジネスオーナーのみなさま、ビジネスネットワーキングに興味ある方いらっしゃいますか？ 希望がたくさんあれば、開催をしたいなと考えています。
アメリカで出産・緊急連絡先は誰にしましたか？,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,育児・子育て,アメリカで出産経験のある方にお伺いしたいことがあります。 　 分娩病院予約時の緊急連絡先を2件指定する必要があるのですが、夫とあとひとつをどうすればいいのかわからず困っています。 　 アメリカ国内に親族はいません。 　 ・知人(アメリカ人でも)を緊急連絡先にさせてもらい、何かあったときは大使館/領事館に連絡を入れてもらえるようお願いしておく 　 ・日本人の知人を緊急連絡先にさせてもらい、実家の連絡先を控えておいてもらい、何かあったときは実家に連絡してもらえるようお願いしておく 　 ・大使館/領事館を緊急連絡先にさせてもらう...
生活情報誌を探しています。,,,,シカゴ,生活,シカゴで地元の人に配布、読まれている月間フリーマガジンがあれば教えていただきたいです。 日本人のみが対象でない英語で刊行されたものを探しています。
アーバインやアリソビエホ周辺で、個人でヘアーカットをさ...,,,,アーバイン,生活,アーバインやアリソビエホ周辺で、個人でヘアーカットをされている方がいらっしゃったら、教えて下さい。
K1ビザに関して,,,,日本,ビザ,今年または来年にK1ビザの申請を予定してます。恥ずかしながら昨年、オービスで捕まり速度超過(事故無し)により赤切符を切られてしました。略式裁判をし、罰金を支払いましたが、前科持ちです。審査に影響するのは承知です。必要な書類等ありますでしょうか。心配です。
犬とボストンへの引越し,,,,ボストン,生活,大型犬を連れてボストンに引越し予定です。犬の運動（オフリーシュ可能）でオススメの場所、また、散歩するのにオススメの場所（公園やトレイルなど）や、ドッグフレンドリーでオススメの地域が在れば教えて下さい。犬と生活し易い場所で住む所を探したいと思ってます。また、犬に関してオススメのお店や、動物病院なども情報が有れば嬉しいです。
ボストンの色、青と黄色の由来について,,,,ボストン,ボストンの歴史,ボストニアンの皆さまに質問です。 ボストン・マラソンなどのカラーで使われている鮮やかな青と黄色。 なぜ青と黄色なのだろうと気になっています。 ボストン体育協会の色、と書かれたWSJの記事を見つけましたが、ボストン市旗の色でもあるんですよね。 「青は〇〇を意味する」といった、その色に決めた背景が絶対あると思うのです。 他州に住んでいながら、なぜかこのことが引っかかりモヤモヤしています（苦笑） ご存知の方がいらっしゃいましたら、ご教示よろしくお願いいたします。
リモートワーク需要ってありますか？,,,,ロサンゼルス/サンフランシスコ/サンノゼ/ホノルル/ニューヨーク,仕事,リモートワークのお仕事（業務委託）をサンフランシスコ在住の日本人の方に募集をしたら需要ありますか？ 業務内容は、FAXデータを専用システムに転記していく作業で難易度は低いです。検討段階で、明確ではないので回答しずらいと思うのですが、アドバイスややってもいいという方ご連絡ほしいです！
ベガスで日本食の材料などは仕入れられますか？,,,,ラスベガス,生活,ラスベガスにコンドを買い、今はCAとラスベガスを行ったり来たりの慌ただしい日々を過ごしています。 まだベガスの生活では分からない事が多いのですが、日本食は普通に買えますか？ 料理はやはり日本食がメインなのですが、皆さんはどこでお買い物をされているのか教えてください。 自分で見つけたお店はかなり値段が高かったり、お刺身で食べれそうなお魚が見つかりません。 今は月に何度かCAと往復しているので、必要な物はCAで調達しています。...
バイクの免許,,,,ワシントン/シアトル,交通・飛行機,バイクの免許の試験を受ける時に自分のバイクを持っていきますが､免許がないのに試験所まで運転しても大丈夫なんでしょうか? それとも試験場の近くにレンタルできる場所があったりするんですかね? バイクの免許持ってる友達がいないので代わりに試験場まで運転してもらうこともできないです。 何かいい方法があれば教えてください。
PCRテストの結果日本に帰れなくて困っています,,,,ロサンゼルス,医療,"すみません、困っているので、たすけてください！
ロサンゼルス　のクリニックでcertificate travel を書いているところはありますか？
夫と子供達がアメリカから戻って来れないのでこまっています。　

夫と子供がPCR検査を受けたのが、1月30日で陽性（3人とも）
2月9日　は　夫が陰性　子供2人陽性です。　体調も良くて元気なのですが以前感染していた場合は
PCRテストがポジティブになることもあるそうです。　クリニックや病院で　certificate travel を書いてもらえるとJAL やANAは受け付けてくれるそうです。どうかどなたかおしえてくださらないでしょうか？..."
安全なエリア,,,,ダラス,生活,"初めまして。

Dalls/FortWorthエリアで住まいを探しております。Royse city, Rockwall, weatherford, spring townの治安をご存知の方教えていただきたいです。
また住むのにおすすめしないエリアもありましたら参考にさせていただきたいです。就学児童がおります。
よろしくお願いいたします。"
アフターケアプログラムについて,,,,アーバイン,育児・子育て,今年度（9月より）Irvine学区のStonegateへ入学の息子がいます。 学校が提供するアフターケアプログラムについてご存じの方、ぜひ情報の提供をお願い致します。
猫の避妊手術について,,,,ボストン,医療,こんにちは。 ボストン周辺で、2〜3万位の予算で猫の避妊手術をしてくれるところをご存知の方がいらっしゃいましたら教えて頂けますでしょうか？かかりつけの獣医さんには予算10万くらいと言われ、もう少しリーズナブルなところを探しています。よろしくお願いします。
インターネットでのグリーンカード申請の方法（日本から）,,,,ロサンゼルス/サンディエゴ/サンフランシスコ/ラスベガス/ニューヨーク,ビザ,ｄｖ2023　グリンカード永住権の抽選にネットで申し込みしたいのですが、 どのサイトで、いつから応募が可能なのでしょうか？ どなたかご存じでしたらお教え頂ければ幸いです。今年のはじめ「usadiversitylottery.com」というサイトで申し込みをしましたが、のちのネット情報では詐欺であるとの情報を確認しました。パスポート番号や情報を打ち込み、申込金100ドル近く払いましたが、怖くなって再度個人情報をでたらめに打ち込み、ほっぽらかしております。 当方、現在日本に住んでおります。どなたかお知恵を拝借したいです。 よろしくお願い致します。
日本入国用陰性証明書,,,,フェニックス,医療,フェニックスで日本入国時に提出する陰性証明を作成してくれるPCRテストをしてくれる医療機関をご存知ありませんか？
おすすめの誘蛾灯/殺虫灯についてお聞きしたいです,,,,ニューヨーク,生活,"家の中にハエが入ってきて困っています(家の中でわいているわけでは無いと思います)。家の周りの草を刈ってもキリがなく、今のように寒い時期でもいるので、家の外と中に誘蛾灯/殺虫灯のようなものを買おうと思うのですが、たくさんあるので決めかねています。
おすすめの商品や、おすすめの会社などありますでしょうか？ご存知の方、お教えいただければ幸いです。
どうぞよろしくお願い致します。

また、当方こちらに来て1年目なのでよくわからないのですが、ハエはこんなに発生するものなのでしょうか？住んでいるところは緑が多めの田舎です。
それもよろしければお答えいただければ幸いです。"
会計士さん　探しています,,,,ロサンゼルス/ワシントン/アトランタ/シカゴ/ボストン/ラスベガス/ニューヨーク/フィラデルフィア/シアトル,生活,tax returnをやってもらえる会計士さんを探してます。 今年から投資を始めたので、それも含めわかりやすく説明してくださる方にお願いしたいです。 御本人が会計士さん、もしくは良い会計士さんをご存じの方、情報提供を宜しくお願いします。
MacBookのフィルムを実店舗で確認したい,,,,シアトル,apple,ラスベガスに移りすんですぐで、MacBookを購入したのですが保護するフィルムがほしいです。 理由は、このサイトの通り→　https://www.kobi-gadgetlife.com/macbook-film-necessity/　割れたらこわいから。 実際に見ることができる店舗ってApple Storeしかないんですかね〜。
ニューヨークでのコロナ状況はどのようなものでしょうか？,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,ニューヨークでのコロナ状況はどのようなものでしょうか？
NYブルックリン近くで、和式結婚式を出来るところを探し...,,,,ニューヨーク,結婚式,NYブルックリン近くで、和式結婚式を出来るところを探しています。 結婚式ができる場所、和式の結婚式を執り行ってくださる方（三々九度など）をご紹介いただける方、よろしくお願いします。
ラスベガスは日本人差別がありますか？,,,,ラスベガス,生活,ラスベガスは日本人(アジア人)に対し、差別はあるのでしょうか？３歳の息子と主人でラスベガスに引っ越すことになりました。サマリンを考えています。お住まいの方、日常生活の中で何か嫌な思いをしたことはありますか？
現在の状況での日本ーロスの弾丸日程について,,,,ロサンゼルス,交通・飛行機,"はじめまして、こんにちは。日本より失礼いたします。
今月下旬に、ロスに弾丸（３泊４日）で行こうと思っています。いろいろ気になる点がありまして、何かこちらで教えていただければ・・・と思っております。

１. アメリカ入国後に隔離が無いと聞いておりますが、アメリカ側で短期滞在がダメとかあるのでしょうか？（ビジネスではありません）

現在の状況で、日本からロス、ロスから日本を経験した方にお聞きしたいのですが、

２. アメリカ入国後、すぐに日本へ戻るためのPCR検査を受けなくてはならないと思います。..."
Google Fi は旅行者でも手に入りますか？,,,,ロサンゼルス,生活,アメリカ以外の海外でも使えて便利そうなGoogle FiのSIMカードを探しております。 荷物の受け取りが出来ない宿に泊まっているのでお店で買おうと思ってるのですがなかなか見つけられません。 どこに売ってるかご存知の方いらしたら教えて下さると嬉しいです。
